WN;PS;PA;PC;PU;PET;PP;SAN;PVC;PE;POM;ABS
450.55551;0.01886;0.01204;0.01729;0.02101;0.01608;0.05426;0.02837;0.04142;0.00999;0.00856;0.01702
453.3388;0.01855;0.01157;0.01789;0.02106;0.01616;0.04968;0.02817;0.03769;0.00991;0.00876;0.0173
456.1212;0.01812;0.01173;0.01993;0.02186;0.01575;0.04131;0.02816;0.03666;0.00982;0.00936;0.01793
458.90272;0.01757;0.01284;0.0217;0.02218;0.01554;0.03158;0.02835;0.03385;0.00977;0.00946;0.01912
461.68335;0.01742;0.01291;0.02307;0.02105;0.01554;0.02309;0.02845;0.03288;0.00984;0.01025;0.01989
464.4631;0.01729;0.01296;0.02444;0.0184;0.01578;0.01742;0.0284;0.03241;0.01003;0.01043;0.02072
467.24195;0.01713;0.0129;0.02493;0.01603;0.0157;0.01515;0.02797;0.0332;0.01019;0.0114;0.02147
470.01992;0.01715;0.013;0.02448;0.01508;0.01617;0.0128;0.02741;0.03197;0.01044;0.01115;0.02096
472.79701;0.01693;0.01349;0.02357;0.01525;0.01663;0.01112;0.02673;0.03097;0.01048;0.01142;0.02031
475.57321;0.01709;0.01361;0.0228;0.01499;0.01673;0.00972;0.02612;0.03121;0.01087;0.01162;0.01966
478.34852;0.01723;0.01389;0.0225;0.01533;0.01724;0.00983;0.02565;0.03196;0.01098;0.01153;0.01771
481.12295;0.01734;0.01454;0.02344;0.01607;0.01749;0.00898;0.0253;0.02934;0.01114;0.01204;0.01774
483.89649;0.01718;0.01574;0.02427;0.01723;0.01768;0.00863;0.02517;0.02925;0.01134;0.01251;0.01637
486.66915;0.01736;0.0168;0.02452;0.01842;0.01726;0.00855;0.02527;0.02874;0.01133;0.01334;0.0157
489.44092;0.01771;0.01678;0.02463;0.01891;0.01722;0.00906;0.0253;0.02934;0.01144;0.01505;0.01525
492.21182;0.01788;0.01737;0.02479;0.01968;0.01672;0.00949;0.02521;0.02965;0.01136;0.01676;0.01485
494.98182;0.01799;0.01778;0.02521;0.02025;0.01677;0.01021;0.02477;0.03093;0.01128;0.01839;0.01513
497.75095;0.01801;0.01843;0.02588;0.02142;0.01662;0.01099;0.02422;0.03137;0.01142;0.01933;0.01422
500.51919;0.01863;0.01899;0.02654;0.02405;0.01642;0.01164;0.02374;0.03071;0.0113;0.02086;0.014
503.28655;0.01907;0.01924;0.0269;0.02483;0.01617;0.01262;0.02335;0.03016;0.01162;0.02155;0.01342
506.05302;0.01942;0.01933;0.02661;0.02641;0.01665;0.01679;0.02304;0.03154;0.01176;0.02207;0.0131
508.81862;0.01981;0.02033;0.02605;0.02615;0.01682;0.02112;0.02294;0.03219;0.01205;0.02275;0.01287
511.58333;0.0202;0.02115;0.02463;0.02603;0.01686;0.02826;0.0232;0.03275;0.01215;0.02276;0.01211
514.34716;0.02088;0.02205;0.02299;0.02427;0.01677;0.03506;0.02372;0.03186;0.012;0.02278;0.01237
517.11012;0.02152;0.02315;0.02133;0.02298;0.01692;0.0403;0.02439;0.02987;0.01203;0.02404;0.01274
519.87219;0.02227;0.02472;0.02017;0.02199;0.01713;0.04322;0.02526;0.03103;0.01225;0.0264;0.01269
522.63338;0.02321;0.02668;0.01984;0.02113;0.01733;0.04302;0.02616;0.03176;0.01225;0.03147;0.01307
525.39369;0.02464;0.02794;0.0199;0.0212;0.01792;0.0396;0.02713;0.03183;0.01254;0.04145;0.01313
528.15312;0.0264;0.02852;0.01982;0.02287;0.01876;0.03371;0.02819;0.03101;0.01283;0.05576;0.01432
530.91167;0.02756;0.0279;0.02022;0.0224;0.01896;0.02624;0.02915;0.03358;0.01322;0.07015;0.01592
533.66934;0.02858;0.02766;0.02;0.0235;0.01918;0.02081;0.03;0.03489;0.01329;0.08134;0.01795
536.42614;0.02892;0.02631;0.02013;0.02369;0.01907;0.01582;0.03082;0.0377;0.01311;0.08739;0.01835
539.18205;0.02894;0.02369;0.02056;0.02414;0.01893;0.01305;0.03152;0.03923;0.01316;0.08654;0.02062
541.93709;0.02828;0.02193;0.02051;0.0231;0.01875;0.01197;0.03194;0.03959;0.01306;0.07954;0.02192
544.69125;0.02767;0.01947;0.02137;0.02236;0.01833;0.01051;0.03213;0.04047;0.01294;0.06878;0.02256
